System, Training Points, Seed, Smooth, Surmise, Scikit-learn
AuAu200, 40, 40134, 0.04970, 0.02884, 0.03917
PbPb2760, 40, 40134, 0.07862, 0.03978, 0.07021
PbPb5020, 40, 40134, 0.08907, 0.03565, 0.07621
AuAu200, 50, 40134, 0.05884, 0.01361, 0.07560
PbPb2760, 50, 40134, 0.11549, 0.06009, 0.14904
PbPb5020, 50, 40134, 0.12343, 0.06512, 0.15834
AuAu200, 60, 40134, 0.04710, 0.00944, 0.07056
PbPb2760, 60, 40134, 0.08262, 0.04199, 0.11414
PbPb5020, 60, 40134, 0.08625, 0.04550, 0.11817
AuAu200, 70, 40134, 0.05611, 0.01186, 0.06567
PbPb2760, 70, 40134, 0.08632, 0.01930, 0.09978
PbPb5020, 70, 40134, 0.08818, 0.01904, 0.10159
AuAu200, 80, 40134, 0.04582, 0.02031, 0.06005
PbPb2760, 80, 40134, 0.09001, 0.04974, 0.12136
PbPb5020, 80, 40134, 0.09316, 0.04925, 0.12653
AuAu200, 90, 40134, 0.01895, 0.00570, 0.07212
PbPb2760, 90, 40134, 0.02951, 0.01720, 0.10629
PbPb5020, 90, 40134, 0.03018, 0.01861, 0.10852
AuAu200, 100, 40134, 0.01628, 0.00347, 0.04496
PbPb2760, 100, 40134, 0.05011, 0.01653, 0.08437
PbPb5020, 100, 40134, 0.05589, 0.01673, 0.09079
AuAu200, 40, 93791, 0.04155, 0.00777, 0.06269
PbPb2760, 40, 93791, 0.05127, 0.02047, 0.11870
PbPb5020, 40, 93791, 0.05573, 0.02481, 0.13070
AuAu200, 50, 93791, 0.02078, 0.00695, 0.05604
PbPb2760, 50, 93791, 0.02610, 0.01086, 0.07544
PbPb5020, 50, 93791, 0.02609, 0.01037, 0.08066
AuAu200, 60, 93791, 0.04140, 0.01153, 0.04860
PbPb2760, 60, 93791, 0.06442, 0.02406, 0.08474
PbPb5020, 60, 93791, 0.06819, 0.02690, 0.08887
AuAu200, 70, 93791, 0.03907, 0.00521, 0.05196
PbPb2760, 70, 93791, 0.04843, 0.01056, 0.07262
PbPb5020, 70, 93791, 0.05009, 0.01123, 0.07388
AuAu200, 80, 93791, 0.02124, 0.00210, 0.04516
PbPb2760, 80, 93791, 0.03685, 0.00840, 0.07728
PbPb5020, 80, 93791, 0.03946, 0.01017, 0.08336
AuAu200, 90, 93791, 0.02465, 0.00731, 0.05868
PbPb2760, 90, 93791, 0.04744, 0.01223, 0.08485
PbPb5020, 90, 93791, 0.05452, 0.00898, 0.08768
AuAu200, 100, 93791, 0.01415, 0.00757, 0.04552
PbPb2760, 100, 93791, 0.04630, 0.01268, 0.07930
PbPb5020, 100, 93791, 0.05286, 0.01097, 0.08690
AuAu200, 40, 55154, 0.04540, 0.01033, 0.04879
PbPb2760, 40, 55154, 0.05568, 0.01493, 0.09758
PbPb5020, 40, 55154, 0.05945, 0.01474, 0.11828
AuAu200, 50, 55154, 0.04036, 0.00613, 0.05914
PbPb2760, 50, 55154, 0.06721, 0.02418, 0.08635
PbPb5020, 50, 55154, 0.07389, 0.03381, 0.08842
AuAu200, 60, 55154, 0.02368, 0.00543, 0.06517
PbPb2760, 60, 55154, 0.03300, 0.01618, 0.09210
PbPb5020, 60, 55154, 0.03462, 0.01758, 0.09324
AuAu200, 70, 55154, 0.04327, 0.00638, 0.05934
PbPb2760, 70, 55154, 0.07791, 0.01026, 0.10325
PbPb5020, 70, 55154, 0.08239, 0.01110, 0.10799
AuAu200, 80, 55154, 0.02313, 0.00542, 0.05293
PbPb2760, 80, 55154, 0.04432, 0.01131, 0.08299
PbPb5020, 80, 55154, 0.04656, 0.01124, 0.08448
AuAu200, 90, 55154, 0.02712, 0.00940, 0.06129
PbPb2760, 90, 55154, 0.05337, 0.02703, 0.09852
PbPb5020, 90, 55154, 0.05776, 0.02590, 0.10408
AuAu200, 100, 55154, 0.03146, 0.00671, 0.06552
PbPb2760, 100, 55154, 0.11715, 0.02409, 0.10559
PbPb5020, 100, 55154, 0.13061, 0.02839, 0.11010
AuAu200, 40, 62757, 0.06587, 0.03172, 0.06249
PbPb2760, 40, 62757, 0.09699, 0.04882, 0.09083
PbPb5020, 40, 62757, 0.10382, 0.04631, 0.09210
AuAu200, 50, 62757, 0.03760, 0.01129, 0.05439
PbPb2760, 50, 62757, 0.04916, 0.02921, 0.09320
PbPb5020, 50, 62757, 0.05037, 0.03019, 0.09739
AuAu200, 60, 62757, 0.02362, 0.01025, 0.05271
PbPb2760, 60, 62757, 0.03863, 0.01595, 0.09364
PbPb5020, 60, 62757, 0.04080, 0.01428, 0.10169
AuAu200, 70, 62757, 0.04201, 0.00812, 0.03542
PbPb2760, 70, 62757, 0.09095, 0.02462, 0.06619
