System, Training Points, Seed, Smooth, Surmise, Scikit-learn
AuAu200, 40, 40134, 0.07706, 0.01204, 0.05987
PbPb2760, 40, 40134, 0.10355, 0.02839, 0.09064
PbPb5020, 40, 40134, 0.11614, 0.02683, 0.09671
AuAu200, 50, 40134, 0.07206, 0.01693, 0.06691
PbPb2760, 50, 40134, 0.13629, 0.06438, 0.13874
PbPb5020, 50, 40134, 0.14786, 0.06919, 0.14783
AuAu200, 60, 40134, 0.05279, 0.00657, 0.08039
PbPb2760, 60, 40134, 0.08707, 0.02481, 0.13018
PbPb5020, 60, 40134, 0.09630, 0.02471, 0.13470
AuAu200, 70, 40134, 0.02889, 0.00570, 0.04466
PbPb2760, 70, 40134, 0.04489, 0.00473, 0.06885
PbPb5020, 70, 40134, 0.04883, 0.00463, 0.07286
AuAu200, 80, 40134, 0.02557, 0.00226, 0.05129
PbPb2760, 80, 40134, 0.03402, 0.00661, 0.08160
PbPb5020, 80, 40134, 0.03719, 0.00694, 0.08745
AuAu200, 90, 40134, 0.03334, 0.00176, 0.06890
PbPb2760, 90, 40134, 0.04739, 0.01324, 0.11342
PbPb5020, 90, 40134, 0.05159, 0.01358, 0.11659
AuAu200, 100, 40134, 0.01485, 0.00221, 0.03761
PbPb2760, 100, 40134, 0.03254, 0.00725, 0.06770
PbPb5020, 100, 40134, 0.03763, 0.00741, 0.07223
AuAu200, 40, 93791, 0.10522, 0.00675, 0.07296
PbPb2760, 40, 93791, 0.13911, 0.00921, 0.11218
PbPb5020, 40, 93791, 0.15448, 0.01180, 0.11906
AuAu200, 50, 93791, 0.06355, 0.01183, 0.04102
PbPb2760, 50, 93791, 0.08249, 0.02078, 0.05653
PbPb5020, 50, 93791, 0.08948, 0.01907, 0.05841
AuAu200, 60, 93791, 0.04432, 0.00405, 0.04741
PbPb2760, 60, 93791, 0.06583, 0.01010, 0.06748
PbPb5020, 60, 93791, 0.07252, 0.00986, 0.06961
AuAu200, 70, 93791, 0.05448, 0.00451, 0.06479
PbPb2760, 70, 93791, 0.07065, 0.00460, 0.09769
PbPb5020, 70, 93791, 0.07742, 0.00442, 0.10106
AuAu200, 80, 93791, 0.02988, 0.00250, 0.07433
PbPb2760, 80, 93791, 0.04628, 0.00506, 0.13570
PbPb5020, 80, 93791, 0.05256, 0.00672, 0.14464
AuAu200, 90, 93791, 0.02434, 0.00320, 0.05077
PbPb2760, 90, 93791, 0.04264, 0.00816, 0.08679
PbPb5020, 90, 93791, 0.04739, 0.00682, 0.09347
AuAu200, 100, 93791, 0.02102, 0.00282, 0.04632
PbPb2760, 100, 93791, 0.03482, 0.00474, 0.09026
PbPb5020, 100, 93791, 0.03548, 0.00528, 0.10052
AuAu200, 40, 55154, 0.08324, 0.00468, 0.04658
PbPb2760, 40, 55154, 0.11910, 0.01857, 0.08299
PbPb5020, 40, 55154, 0.13065, 0.02159, 0.08805
AuAu200, 50, 55154, 0.06954, 0.00405, 0.04970
PbPb2760, 50, 55154, 0.12427, 0.02902, 0.11209
PbPb5020, 50, 55154, 0.13928, 0.03903, 0.12464
AuAu200, 60, 55154, 0.06473, 0.00393, 0.07765
PbPb2760, 60, 55154, 0.08634, 0.00656, 0.11062
PbPb5020, 60, 55154, 0.09433, 0.00653, 0.11210
AuAu200, 70, 55154, 0.02846, 0.00488, 0.05926
PbPb2760, 70, 55154, 0.05804, 0.01985, 0.10726
PbPb5020, 70, 55154, 0.06417, 0.02080, 0.11384
AuAu200, 80, 55154, 0.03089, 0.00511, 0.07024
PbPb2760, 80, 55154, 0.05581, 0.01601, 0.12658
PbPb5020, 80, 55154, 0.06240, 0.01452, 0.13543
AuAu200, 90, 55154, 0.03670, 0.00241, 0.06008
PbPb2760, 90, 55154, 0.04217, 0.00948, 0.09115
PbPb5020, 90, 55154, 0.04708, 0.00958, 0.09553
AuAu200, 100, 55154, 0.02548, 0.00406, 0.06451
PbPb2760, 100, 55154, 0.03931, 0.01996, 0.12442
PbPb5020, 100, 55154, 0.04146, 0.02278, 0.13170
AuAu200, 40, 62757, 0.05658, 0.00737, 0.03200
PbPb2760, 40, 62757, 0.07735, 0.01171, 0.05837
PbPb5020, 40, 62757, 0.08673, 0.01114, 0.06227
AuAu200, 50, 62757, 0.05450, 0.00668, 0.06368
PbPb2760, 50, 62757, 0.07596, 0.02074, 0.10440
PbPb5020, 50, 62757, 0.08478, 0.02226, 0.10746
AuAu200, 60, 62757, 0.06474, 0.02187, 0.06115
PbPb2760, 60, 62757, 0.08906, 0.04054, 0.10165
PbPb5020, 60, 62757, 0.09648, 0.03864, 0.10573
AuAu200, 70, 62757, 0.04599, 0.00535, 0.04462
PbPb2760, 70, 62757, 0.06324, 0.00904, 0.08821
PbPb5020, 70, 62757, 0.06890, 0.00893, 0.09595
AuAu200, 80, 62757, 0.02799, 0.00818, 0.05159
PbPb2760, 80, 62757, 0.04582, 0.02321, 0.07384
