walker	A	B	C	D	E	log_l	log_p
0	2.170377771e+00	1.562925604e+00	-4.547378250e-01	8.727917692e-02	-8.914939946e-01	9.240452229e+00	4.082199452e-02
1	2.175775108e+00	1.562671023e+00	-4.513715309e-01	8.889272474e-02	-8.900963161e-01	9.362365931e+00	4.082199452e-02
2	2.208827833e+00	1.561111998e+00	-4.307566990e-01	9.877392239e-02	-8.815370800e-01	9.946741097e+00	4.082199452e-02
3	2.232901072e+00	1.571630729e+00	-5.105464135e-01	1.001793709e-01	-7.105127083e-01	9.777174583e+00	4.082199452e-02
4	2.699080785e+00	1.639289034e+00	-4.975991667e-01	9.168388816e-02	-7.652079895e-01	7.590115103e+00	4.082199452e-02
5	2.316383218e+00	1.517393360e+00	-4.179315788e-01	1.148983029e-01	-8.799901091e-01	1.035202848e+01	4.082199452e-02
6	2.316383218e+00	1.517393360e+00	-4.179315788e-01	1.148983029e-01	-8.799901091e-01	1.035202848e+01	4.082199452e-02
7	2.292566676e+00	1.554954259e+00	-3.198555849e-01	1.230534853e-01	-9.314371468e-01	9.271563078e+00	4.082199452e-02
8	2.279255933e+00	1.557790057e+00	-3.868310190e-01	1.198285848e-01	-8.632992274e-01	1.015226868e+01	4.082199452e-02
9	2.279255933e+00	1.557790057e+00	-3.868310190e-01	1.198285848e-01	-8.632992274e-01	1.015226868e+01	4.082199452e-02
10	2.279255933e+00	1.557790057e+00	-3.868310190e-01	1.198285848e-01	-8.632992274e-01	1.015226868e+01	4.082199452e-02
11	2.279255933e+00	1.557790057e+00	-3.868310190e-01	1.198285848e-01	-8.632992274e-01	1.015226868e+01	4.082199452e-02
12	2.262033258e+00	1.584723554e+00	-4.111732910e-01	1.135104970e-01	-9.081430084e-01	1.008018396e+01	4.082199452e-02
13	2.188400007e+00	1.447082370e+00	-1.555392245e-01	1.324586958e-01	-1.064057553e+00	6.978998191e+00	4.082199452e-02
14	2.279692945e+00	1.558628882e+00	-3.550605744e-01	1.072089907e-01	-9.521109640e-01	1.007228291e+01	4.082199452e-02
15	2.279255933e+00	1.557790057e+00	-3.868310190e-01	1.198285848e-01	-8.632992274e-01	1.015226868e+01	4.082199452e-02
16	2.254738194e+00	1.581433115e+00	-4.404703998e-01	1.520788888e-01	-6.477360134e-01	9.290674631e+00	4.082199452e-02
17	2.019441317e+00	1.505630709e+00	-3.911257612e-01	1.660097373e-01	-7.208745699e-01	9.063657901e+00	4.082199452e-02
18	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
19	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
20	2.276641050e+00	1.566549718e+00	-4.202112307e-01	1.393046463e-01	-7.511834761e-01	9.935091257e+00	4.082199452e-02
21	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
22	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
23	2.275136142e+00	1.565250968e+00	-4.164217342e-01	1.397444153e-01	-7.538461194e-01	9.905080635e+00	4.082199452e-02
24	2.331958360e+00	1.475371928e+00	-3.123421940e-01	1.391623159e-01	-7.260745439e-01	9.304019100e+00	4.082199452e-02
25	2.068780722e+00	1.399238823e+00	-3.011496185e-01	1.178305068e-01	-7.404316773e-01	1.075624289e+01	4.082199452e-02
26	2.399848834e+00	1.704732164e+00	-6.938241851e-01	1.030646621e-01	-5.968330773e-01	8.828412345e+00	4.082199452e-02
27	2.399848834e+00	1.704732164e+00	-6.938241851e-01	1.030646621e-01	-5.968330773e-01	8.828412345e+00	4.082199452e-02
28	2.391891061e+00	1.669007390e+00	-6.718442211e-01	9.980567171e-02	-6.214302804e-01	9.182006027e+00	4.082199452e-02
29	2.356230301e+00	1.669956679e+00	-6.459391021e-01	1.023108205e-01	-6.265342162e-01	9.359591028e+00	4.082199452e-02
30	2.399848834e+00	1.704732164e+00	-6.938241851e-01	1.030646621e-01	-5.968330773e-01	8.828412345e+00	4.082199452e-02
31	2.399848834e+00	1.704732164e+00	-6.938241851e-01	1.030646621e-01	-5.968330773e-01	8.828412345e+00	4.082199452e-02
32	2.408213615e+00	1.742284117e+00	-7.169283369e-01	1.064903368e-01	-5.709778250e-01	8.181028743e+00	4.082199452e-02
33	2.408213615e+00	1.742284117e+00	-7.169283369e-01	1.064903368e-01	-5.709778250e-01	8.181028743e+00	4.082199452e-02
34	2.379799605e+00	1.704333052e+00	-6.528502158e-01	1.135768150e-01	-6.098944877e-01	9.090002185e+00	4.082199452e-02
35	2.165767254e+00	1.740744521e+00	-7.639795464e-01	1.109471032e-01	-5.711974545e-01	8.382033683e+00	4.082199452e-02
36	1.801047460e+00	1.657664887e+00	-8.305964279e-01	1.155916247e-01	-5.828067039e-01	7.889862145e+00	4.082199452e-02
37	2.068019928e+00	1.619748317e+00	-6.263645333e-01	1.264069126e-01	-6.630576224e-01	9.427740704e+00	4.082199452e-02
38	1.869369123e+00	1.671179591e+00	-8.195583060e-01	1.155315408e-01	-5.835921526e-01	8.109704798e+00	4.082199452e-02
39	1.666669727e+00	1.711014740e+00	-8.911954994e-01	1.346170347e-01	-6.178636962e-01	7.714210228e+00	4.082199452e-02
40	1.559494869e+00	1.654774866e+00	-7.725004981e-01	1.295116817e-01	-6.027959770e-01	8.055751859e+00	4.082199452e-02
41	1.399703678e+00	1.647782694e+00	-7.511250078e-01	1.370198046e-01	-6.134962008e-01	8.040229648e+00	4.082199452e-02
42	1.660449384e+00	1.659192451e+00	-7.860053243e-01	1.247681230e-01	-5.960356800e-01	8.060596031e+00	4.082199452e-02
43	1.356717912e+00	1.715510865e+00	-7.883030162e-01	1.269554158e-01	-6.884984040e-01	6.535128635e+00	4.082199452e-02
44	1.143163978e+00	1.757359018e+00	-8.738289773e-01	1.293331567e-01	-6.465207518e-01	6.037717793e+00	4.082199452e-02
45	1.232955287e+00	1.736079405e+00	-8.398722351e-01	1.265296304e-01	-6.729760870e-01	6.261336366e+00	4.082199452e-02
46	1.265528022e+00	1.766334715e+00	-9.270654573e-01	1.294947100e-01	-5.701115106e-01	6.580024094e+00	4.082199452e-02
47	1.176576484e+00	1.790467289e+00	-9.588376454e-01	1.305593198e-01	-5.642723868e-01	5.737951881e+00	4.082199452e-02
48	1.489637063e+00	1.736450923e+00	-8.951951406e-01	1.233760557e-01	-5.718099535e-01	7.400252938e+00	4.082199452e-02
49	1.373922475e+00	1.756416649e+00	-9.187189144e-01	1.260311599e-01	-5.690238907e-01	6.975321935e+00	4.082199452e-02
0	2.344820030e+00	1.588121241e+00	-4.688796571e-01	8.873248390e-02	-8.498267156e-01	1.008186989e+01	4.082199452e-02
1	2.175775108e+00	1.562671023e+00	-4.513715309e-01	8.889272474e-02	-8.900963161e-01	9.362365931e+00	4.082199452e-02
2	2.211441971e+00	1.562272103e+00	-4.297945088e-01	9.949797344e-02	-8.828443072e-01	9.978197944e+00	4.082199452e-02
3	2.276729624e+00	1.694296877e+00	-8.601886284e-01	6.838786083e-02	-3.623107383e-01	8.591747336e+00	4.082199452e-02
4	2.699080785e+00	1.639289034e+00	-4.975991667e-01	9.168388816e-02	-7.652079895e-01	7.590115103e+00	4.082199452e-02
5	2.316383218e+00	1.517393360e+00	-4.179315788e-01	1.148983029e-01	-8.799901091e-01	1.035202848e+01	4.082199452e-02
6	2.113839443e+00	1.559207383e+00	-4.961009452e-01	1.174430371e-01	-8.395745054e-01	9.406021930e+00	4.082199452e-02
7	2.292566676e+00	1.554954259e+00	-3.198555849e-01	1.230534853e-01	-9.314371468e-01	9.271563078e+00	4.082199452e-02
8	2.286431459e+00	1.561780336e+00	-3.898346939e-01	1.114646684e-01	-8.925936627e-01	1.021872863e+01	4.082199452e-02
9	2.269338167e+00	1.568581177e+00	-3.785231646e-01	1.211456050e-01	-8.588406126e-01	1.005694401e+01	4.082199452e-02
10	2.279045431e+00	1.551424896e+00	-3.608072337e-01	1.001361127e-01	-9.675142551e-01	1.025394982e+01	4.082199452e-02
11	2.350315679e+00	1.541711926e+00	-3.410820802e-01	1.195093391e-01	-8.895310648e-01	9.661000646e+00	4.082199452e-02
12	2.255637859e+00	1.598856099e+00	-4.397582628e-01	1.068260099e-01	-9.513069331e-01	1.003211913e+01	4.082199452e-02
13	2.188400007e+00	1.447082370e+00	-1.555392245e-01	1.324586958e-01	-1.064057553e+00	6.978998191e+00	4.082199452e-02
14	2.335512732e+00	1.551147420e+00	-3.206858948e-01	1.051197633e-01	-9.676729391e-01	9.670455763e+00	4.082199452e-02
15	2.337959195e+00	1.547753912e+00	-3.612844126e-01	1.193750878e-01	-8.744222145e-01	9.902963767e+00	4.082199452e-02
16	2.253233309e+00	1.598954090e+00	-4.713103511e-01	1.556413516e-01	-5.847278589e-01	8.836527689e+00	4.082199452e-02
17	1.995708518e+00	1.467497287e+00	-3.306521100e-01	1.749404192e-01	-7.451509002e-01	7.951339341e+00	4.082199452e-02
18	2.279489855e+00	1.564863399e+00	-4.157501817e-01	1.417120194e-01	-7.474893519e-01	9.802709617e+00	4.082199452e-02
19	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
20	2.277040918e+00	1.566052234e+00	-4.204586321e-01	1.400107262e-01	-7.468869213e-01	9.914021550e+00	4.082199452e-02
21	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
22	2.275323097e+00	1.564789399e+00	-4.172390369e-01	1.396333449e-01	-7.529885830e-01	9.917798449e+00	4.082199452e-02
23	2.257794002e+00	1.545855169e+00	-3.778470550e-01	1.448449820e-01	-7.756798404e-01	9.526701831e+00	4.082199452e-02
24	2.331958360e+00	1.475371928e+00	-3.123421940e-01	1.391623159e-01	-7.260745439e-01	9.304019100e+00	4.082199452e-02
25	1.951257208e+00	1.283954034e+00	-1.682538600e-01	1.194378330e-01	-7.897572655e-01	1.061107763e+01	4.082199452e-02
26	2.401415991e+00	1.711215396e+00	-7.135344899e-01	1.011497901e-01	-5.767719017e-01	8.673663481e+00	4.082199452e-02
27	2.365969773e+00	1.666658673e+00	-6.185751223e-01	1.130137108e-01	-6.393174823e-01	9.577309092e+00	4.082199452e-02
28	2.391891061e+00	1.669007390e+00	-6.718442211e-01	9.980567171e-02	-6.214302804e-01	9.182006027e+00	4.082199452e-02
29	2.410590606e+00	1.749170213e+00	-8.289246140e-01	8.993954658e-02	-4.593276736e-01	7.622697381e+00	4.082199452e-02
30	2.405870938e+00	1.711467407e+00	-7.072193452e-01	1.012934767e-01	-5.892512595e-01	8.670536612e+00	4.082199452e-02
31	2.747321971e+00	1.725388720e+00	-6.612927680e-01	9.212923569e-02	-5.943675121e-01	6.309761544e+00	4.082199452e-02
32	2.372857432e+00	1.685012660e+00	-5.955331924e-01	1.115541086e-01	-6.811793214e-01	9.444625819e+00	4.082199452e-02
33	2.408213615e+00	1.742284117e+00	-7.169283369e-01	1.064903368e-01	-5.709778250e-01	8.181028743e+00	4.082199452e-02
34	2.379581050e+00	1.703724805e+00	-6.510457542e-01	1.135131359e-01	-6.121386855e-01	9.103519705e+00	4.082199452e-02
35	2.165767254e+00	1.740744521e+00	-7.639795464e-01	1.109471032e-01	-5.711974545e-01	8.382033683e+00	4.082199452e-02
36	1.613453252e+00	1.684307817e+00	-9.741045612e-01	1.079920194e-01	-5.264165913e-01	7.543922056e+00	4.082199452e-02
37	2.068019928e+00	1.619748317e+00	-6.263645333e-01	1.264069126e-01	-6.630576224e-01	9.427740704e+00	4.082199452e-02
38	1.799425557e+00	1.693746727e+00	-8.990971351e-01	1.102530771e-01	-5.490029730e-01	7.800083481e+00	4.082199452e-02
39	1.103349928e+00	1.716292779e+00	-1.079470625e+00	1.512372504e-01	-6.241587809e-01	6.801661941e+00	4.082199452e-02
40	1.233950406e+00	1.701317664e+00	-9.500955682e-01	1.336291850e-01	-4.847603627e-01	8.323565947e+00	4.082199452e-02
41	1.399703678e+00	1.647782694e+00	-7.511250078e-01	1.370198046e-01	-6.134962008e-01	8.040229648e+00	4.082199452e-02
42	1.824641215e+00	1.642363486e+00	-6.995133983e-01	1.169669765e-01	-5.877470641e-01	8.593309071e+00	4.082199452e-02
43	1.356717912e+00	1.715510865e+00	-7.883030162e-01	1.269554158e-01	-6.884984040e-01	6.535128635e+00	4.082199452e-02
44	1.143163978e+00	1.757359018e+00	-8.738289773e-01	1.293331567e-01	-6.465207518e-01	6.037717793e+00	4.082199452e-02
45	1.083370891e+00	1.735862899e+00	-8.076321457e-01	1.283674139e-01	-7.319318694e-01	5.512533315e+00	4.082199452e-02
46	1.265528022e+00	1.766334715e+00	-9.270654573e-01	1.294947100e-01	-5.701115106e-01	6.580024094e+00	4.082199452e-02
47	1.176576484e+00	1.790467289e+00	-9.588376454e-01	1.305593198e-01	-5.642723868e-01	5.737951881e+00	4.082199452e-02
48	1.489637063e+00	1.736450923e+00	-8.951951406e-01	1.233760557e-01	-5.718099535e-01	7.400252938e+00	4.082199452e-02
49	1.373922475e+00	1.756416649e+00	-9.187189144e-01	1.260311599e-01	-5.690238907e-01	6.975321935e+00	4.082199452e-02
0	2.344820030e+00	1.588121241e+00	-4.688796571e-01	8.873248390e-02	-8.498267156e-01	1.008186989e+01	4.082199452e-02
1	2.175775108e+00	1.562671023e+00	-4.513715309e-01	8.889272474e-02	-8.900963161e-01	9.362365931e+00	4.082199452e-02
2	2.220986383e+00	1.562165352e+00	-4.240205225e-01	1.023359258e-01	-8.809036779e-01	1.008440213e+01	4.082199452e-02
3	2.169794586e+00	1.650461233e+00	-8.851639314e-01	5.117126552e-02	-2.848086192e-01	8.546811342e+00	4.082199452e-02
4	2.696658074e+00	1.639020861e+00	-4.973545689e-01	9.198336425e-02	-7.645863206e-01	7.617960066e+00	4.082199452e-02
5	2.316383218e+00	1.517393360e+00	-4.179315788e-01	1.148983029e-01	-8.799901091e-01	1.035202848e+01	4.082199452e-02
6	2.116945281e+00	1.561138961e+00	-4.984308170e-01	1.173274791e-01	-8.367406366e-01	9.412065427e+00	4.082199452e-02
7	2.292566676e+00	1.554954259e+00	-3.198555849e-01	1.230534853e-01	-9.314371468e-01	9.271563078e+00	4.082199452e-02
8	2.286431459e+00	1.561780336e+00	-3.898346939e-01	1.114646684e-01	-8.925936627e-01	1.021872863e+01	4.082199452e-02
