walker	A	B	C	D	E	log_l	log_p
0	1.908533404e+00	1.460872746e+00	-2.822940671e-01	1.075220880e-01	-4.573762142e-01	1.781112233e+01	4.082199452e-02
1	1.908533404e+00	1.460872746e+00	-2.822940671e-01	1.075220880e-01	-4.573762142e-01	1.781112233e+01	4.082199452e-02
2	1.689949820e+00	1.617862279e+00	-1.136436314e-01	1.012384605e-01	-7.822534239e-01	1.173243781e+01	4.082199452e-02
3	2.078879507e+00	1.491326105e+00	-2.708414349e-01	1.025030734e-01	-7.610004580e-01	1.583117730e+01	4.082199452e-02
4	2.314840891e+00	1.584061899e+00	-2.419463418e-01	9.306156697e-02	-7.489023670e-01	1.454743412e+01	4.082199452e-02
5	2.264234397e+00	1.513714184e+00	-3.127110997e-01	9.689527258e-02	-8.736663158e-01	1.634646331e+01	4.082199452e-02
6	2.264234397e+00	1.513714184e+00	-3.127110997e-01	9.689527258e-02	-8.736663158e-01	1.634646331e+01	4.082199452e-02
7	2.232981108e+00	1.557748608e+00	-2.866378987e-01	9.351030739e-02	-9.298153964e-01	1.600302435e+01	4.082199452e-02
8	2.177862038e+00	1.549814947e+00	-3.219331840e-01	9.176236087e-02	-8.605310175e-01	1.564966429e+01	4.082199452e-02
9	2.091513308e+00	1.480371199e+00	-2.453408132e-01	9.724234370e-02	-7.200728172e-01	1.587968854e+01	4.082199452e-02
10	2.066529611e+00	1.572819674e+00	-2.525373003e-01	9.002711886e-02	-8.468189955e-01	1.504248556e+01	4.082199452e-02
11	2.120780414e+00	1.590456741e+00	-2.968380076e-01	8.849155911e-02	-8.948107669e-01	1.542751935e+01	4.082199452e-02
12	2.202710207e+00	1.611761445e+00	-2.923759642e-01	8.371548554e-02	-9.717485164e-01	1.551732365e+01	4.082199452e-02
13	2.101780468e+00	1.498774573e+00	-1.748098480e-01	9.089136146e-02	-8.536263892e-01	1.476752563e+01	4.082199452e-02
14	2.145241708e+00	1.610320796e+00	-3.242588401e-01	8.407908719e-02	-9.152805901e-01	1.560080500e+01	4.082199452e-02
15	2.120780414e+00	1.590456741e+00	-2.968380076e-01	8.849155911e-02	-8.948107669e-01	1.542751935e+01	4.082199452e-02
16	1.973483860e+00	1.593200147e+00	-2.234946073e-01	9.335515212e-02	-8.609511721e-01	1.441008638e+01	4.082199452e-02
17	1.945261288e+00	1.549018266e+00	-2.680331748e-01	9.575480949e-02	-9.379965567e-01	1.388389131e+01	4.082199452e-02
18	2.095237435e+00	1.571457218e+00	-2.418392674e-01	9.358450297e-02	-8.888540248e-01	1.513185101e+01	4.082199452e-02
19	2.051447194e+00	1.555665731e+00	-1.923628328e-01	9.601881897e-02	-8.585924380e-01	1.467422721e+01	4.082199452e-02
20	2.095740867e+00	1.572852514e+00	-2.439910507e-01	9.350240325e-02	-8.894552356e-01	1.514411870e+01	4.082199452e-02
21	2.095237435e+00	1.571457218e+00	-2.418392674e-01	9.358450297e-02	-8.888540248e-01	1.513185101e+01	4.082199452e-02
22	2.005610670e+00	1.537606585e+00	-1.536074357e-01	9.804691591e-02	-8.168994989e-01	1.439761392e+01	4.082199452e-02
23	2.095746552e+00	1.571968941e+00	-2.409231569e-01	9.352003581e-02	-8.901495519e-01	1.511846879e+01	4.082199452e-02
24	1.870070288e+00	1.525263059e+00	-3.104921304e-01	1.031066333e-01	-6.593765977e-01	1.468015010e+01	4.082199452e-02
25	1.885929847e+00	1.432181391e+00	-2.577009798e-01	1.070484290e-01	-6.401676467e-01	1.618070609e+01	4.082199452e-02
26	2.083150926e+00	1.740339597e+00	-4.640461200e-01	8.614435005e-02	-9.102548549e-01	1.398247531e+01	4.082199452e-02
27	2.145999006e+00	1.712146312e+00	-4.588057556e-01	8.530630596e-02	-9.494747143e-01	1.460698959e+01	4.082199452e-02
28	2.145999006e+00	1.712146312e+00	-4.588057556e-01	8.530630596e-02	-9.494747143e-01	1.460698959e+01	4.082199452e-02
29	2.128462658e+00	1.654452496e+00	-4.096962154e-01	8.979931473e-02	-9.002319429e-01	1.512298859e+01	4.082199452e-02
30	2.009211309e+00	1.769378499e+00	-4.737955388e-01	8.696333189e-02	-8.574625587e-01	1.331119187e+01	4.082199452e-02
31	2.145999006e+00	1.712146312e+00	-4.588057556e-01	8.530630596e-02	-9.494747143e-01	1.460698959e+01	4.082199452e-02
32	2.145999006e+00	1.712146312e+00	-4.588057556e-01	8.530630596e-02	-9.494747143e-01	1.460698959e+01	4.082199452e-02
33	2.072159021e+00	1.745270502e+00	-4.649626411e-01	8.629092098e-02	-9.033954411e-01	1.387687921e+01	4.082199452e-02
34	2.145999006e+00	1.712146312e+00	-4.588057556e-01	8.530630596e-02	-9.494747143e-01	1.460698959e+01	4.082199452e-02
35	2.186287239e+00	1.695289651e+00	-4.543907981e-01	8.481826026e-02	-9.765751572e-01	1.503531725e+01	4.082199452e-02
36	2.305932492e+00	1.628777922e+00	-4.555574824e-01	8.270379584e-02	-1.030562254e+00	1.673221379e+01	4.082199452e-02
37	2.284773936e+00	1.639807224e+00	-4.559872159e-01	8.304809745e-02	-1.019834699e+00	1.639985406e+01	4.082199452e-02
38	2.298642363e+00	1.648280091e+00	-4.420784412e-01	8.345720691e-02	-1.052152401e+00	1.638042672e+01	4.082199452e-02
39	2.307690177e+00	1.648732232e+00	-4.469604086e-01	8.319290027e-02	-1.056164272e+00	1.640029528e+01	4.082199452e-02
40	2.298642363e+00	1.648280091e+00	-4.420784412e-01	8.345720691e-02	-1.052152401e+00	1.638042672e+01	4.082199452e-02
41	2.305527116e+00	1.652486307e+00	-4.351736570e-01	8.366030262e-02	-1.068195996e+00	1.616801479e+01	4.082199452e-02
42	2.294292642e+00	1.645622644e+00	-4.464408164e-01	8.332889302e-02	-1.042016214e+00	1.644332056e+01	4.082199452e-02
43	2.288712609e+00	1.645051904e+00	-4.339698954e-01	8.373826690e-02	-1.043368264e+00	1.641506791e+01	4.082199452e-02
44	2.304036712e+00	1.669376819e+00	-4.623601586e-01	8.135043832e-02	-1.080134767e+00	1.578311920e+01	4.082199452e-02
45	2.313053748e+00	1.653637448e+00	-4.561478975e-01	8.274373166e-02	-1.063708213e+00	1.629347662e+01	4.082199452e-02
46	2.298642363e+00	1.648280091e+00	-4.420784412e-01	8.345720691e-02	-1.052152401e+00	1.638042672e+01	4.082199452e-02
47	2.338168181e+00	1.631742426e+00	-4.377470322e-01	8.297839698e-02	-1.078739995e+00	1.684213443e+01	4.082199452e-02
48	2.298642363e+00	1.648280091e+00	-4.420784412e-01	8.345720691e-02	-1.052152401e+00	1.638042672e+01	4.082199452e-02
49	2.294759145e+00	1.645907653e+00	-4.459729561e-01	8.334265455e-02	-1.043103309e+00	1.643915484e+01	4.082199452e-02
0	2.042592022e+00	1.501518238e+00	-2.689815870e-01	1.027509294e-01	-5.535634484e-01	1.670208210e+01	4.082199452e-02
1	1.908533404e+00	1.460872746e+00	-2.822940671e-01	1.075220880e-01	-4.573762142e-01	1.781112233e+01	4.082199452e-02
2	1.715143239e+00	1.617562527e+00	-1.224252742e-01	1.003775055e-01	-7.915638725e-01	1.198851467e+01	4.082199452e-02
3	2.035964507e+00	1.479996940e+00	-3.767460872e-01	1.156914859e-01	-6.280261882e-01	1.602368230e+01	4.082199452e-02
4	2.314840891e+00	1.584061899e+00	-2.419463418e-01	9.306156697e-02	-7.489023670e-01	1.454743412e+01	4.082199452e-02
5	2.264234397e+00	1.513714184e+00	-3.127110997e-01	9.689527258e-02	-8.736663158e-01	1.634646331e+01	4.082199452e-02
6	2.269400687e+00	1.541433887e+00	-3.383035787e-01	9.411839863e-02	-9.094830458e-01	1.637526208e+01	4.082199452e-02
7	2.232981108e+00	1.557748608e+00	-2.866378987e-01	9.351030739e-02	-9.298153964e-01	1.600302435e+01	4.082199452e-02
8	2.201293128e+00	1.551585977e+00	-3.598445341e-01	9.086987107e-02	-8.491087555e-01	1.542936123e+01	4.082199452e-02
9	2.045374535e+00	1.471464328e+00	-2.273442712e-01	9.733505639e-02	-6.790435743e-01	1.594661014e+01	4.082199452e-02
10	2.034025270e+00	1.570094657e+00	-2.636096562e-01	8.732387389e-02	-7.935762604e-01	1.478097270e+01	4.082199452e-02
11	2.104774179e+00	1.585253076e+00	-2.837674635e-01	8.894461286e-02	-8.806512059e-01	1.530641306e+01	4.082199452e-02
12	2.202710207e+00	1.611761445e+00	-2.923759642e-01	8.371548554e-02	-9.717485164e-01	1.551732365e+01	4.082199452e-02
13	2.122453003e+00	1.502829107e+00	-1.633117622e-01	8.911229546e-02	-8.960151093e-01	1.436627431e+01	4.082199452e-02
